Nazwa,Ticker,Liczba akcji [-],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Zobowiązania długoterminowe [tys. zł],Koszty finansowe [tys. zł],Przepływy pieniężne [tys. zł],Wolne przepływy pieniężne [tys. zł],Wzrost przychodów ze sprzedaży r/r [%],Wzrost przychodów ze sprzedaży z 3 lat [%],Wzrost przychodów ze sprzedaży z 5 lat [%],Wzrost zysku netto r/r [%],Wzrost zysku netto z 3 lat [%],Wzrost zysku netto z 5 lat [%],Wzrost kosztów sprzedaży r/r [%],Wzrost kosztów sprzedaży z 3 lat [%],Wzrost kosztów sprzedaży z 5 lat [%],Wzrost EBITDA r/r [%],Wzrost EBITDA z 3 lat [%],Wzrost EBITDA z 5 lat [%],Wzrost wartości firmy r/r [%],Wzrost wartości firmy z 3 lat [%],Wzrost wartości firmy z 5 lat [%],Wzrost kredytów i pożyczek r/r [%],Wzrost kredytów i pożyczek z 3 lat [%],Wzrost kredytów i pożyczek z 5 lat [%],Wzrost aktywów r/r [%],Wzrost aktywów z 3 lat [%],Wzrost aktywów z 5 lat [%],Wzrost pasywów r/r [%],Wzrost pasywów z 3 lat [%],Wzrost pasywów z 5 lat [%],Wzrost dywidendy r/r [%],Wzrost dywidendy z 3 lat [%],Wzrost dywidendy z 5 lat [%],Dywidenda [%],Nazwa+ticker
STAPORKOW,ZUK,6503790,3.06,1.1,0.42,8.0,7.53,0.45,0.68,4.94,13.78,7.24,5.61,992.0,770.0,-20.0,611.0,17.97,-28.41,-0.48,199.56,-56.36,-8684.38,50.71,145.35,2713.33,66.45,-51.05,-23.91,,,,0.0,-50.35,-72.66,4.93,0.17,-28.39,4.93,0.17,-28.39,,,,0.0,STAPORKOW (ZUK)
JRH,JRH,45462000,3.27,1.44,0.11,42.25,0.0,1101.4,3.23,1.45,3.4,2.9,2606.7,0.0,49.0,3155.0,2603.0,0.0,-42.94,38.57,-106.86,-105.12,-98.95,,,,-107.59,-104.89,-540.92,,,,,,,2.96,-45.42,-79.47,2.96,-45.42,-79.47,,,,0.0,JRH (JRH)
CORMAY,CRM,84205008,0.57,0.91,-0.04,,1.1,0.47,0.01,43.05,-7.6,-4.21,-3.95,6319.0,1625.0,-454.0,-4276.0,4.19,11.83,46.21,-54.69,-66.06,-81.37,3.93,0.66,25.5,146.63,1378.08,-244.44,,,,,,,-6.6,-17.86,-10.65,-6.6,-17.86,-10.65,,,,0.0,CORMAY (CRM)
SUNEX,SNX,22291535,4.16,1.67,-0.73,,10.34,0.67,-3.78,,-17.6,-5.39,-7.08,73666.0,7495.0,-1917.0,3041.0,10.92,-20.41,172.54,-18.98,-141.83,-351.93,5.6,111.01,838.64,-198.59,-92.3,-65.25,0.0,542.22,610.44,2.73,76.01,398.8,3.51,51.87,301.85,3.51,51.87,301.85,,-100.0,-100.0,0.0,SUNEX (SNX)
SONEL,SON,14000000,8.4,1.89,1.48,10.73,19.41,0.82,4.32,3.67,17.57,11.25,7.61,5893.0,1591.0,5252.0,15281.0,12.33,50.97,134.03,6.82,75.38,92.23,1.09,29.21,67.69,4.64,64.41,83.83,,,-100.0,-93.54,-91.48,,-5.83,6.93,58.9,-5.83,6.93,58.9,0.0,56.06,95.07,4.3999999999999995,SONEL (SON)
IZOBLOK,IZB,1267000,73.62,0.42,-8.65,,216.49,0.14,-69.95,,-11.75,-3.7,-4.0,120749.0,10619.0,4520.0,-46610.0,13.24,13.01,53.15,-189.73,-321.59,10.52,,,,-31.39,-42.04,18.6,-0.09,-6.97,-6.49,105.99,-54.86,75.36,7.55,41.08,60.63,7.55,41.08,60.63,,,,0.0,IZOBLOK (IZB)
LUBAWA,LBW,150270000,3.46,2.62,0.85,10.65,4.11,2.21,1.76,5.15,24.62,19.04,20.71,28772.0,2402.0,-31528.0,88382.0,20.98,85.93,159.71,26.91,525.83,309.92,11.61,56.33,138.04,27.16,289.96,205.94,,,,45036.36,-76.81,-86.35,-11.28,58.21,60.29,-11.28,58.21,60.29,,,,0.0,LUBAWA (LBW)
BOWIM,BOW,19514647,15.62,0.31,-0.3,,93.84,0.05,6.24,0.77,-1.91,-0.96,-0.32,33103.0,29124.0,-1049.0,46112.0,0.7,-33.47,51.87,-44.84,-105.23,-133.29,,,,40.58,-89.2,-42.1,0.0,106.0,106.0,,-100.0,-100.0,12.02,-3.82,44.8,12.02,-3.82,44.8,0.0,-96.03,,1.7000000000000002,BOWIM (BOW)
MEGARON,MEG,2700000,7.71,0.91,0.22,32.31,16.07,0.44,1.78,3.93,2.81,1.86,1.35,12.0,444.0,131.0,4568.0,-7.45,-9.27,-3.4,-38.94,-155.56,-79.31,-8.04,2.29,21.31,-12.51,51.92,-38.47,,,,0.0,3.07,55.68,-0.47,-12.19,-17.94,-0.47,-12.19,-17.94,,-100.0,,,MEGARON (MEG)
LPP,LPP,1855890,2636.47,6.33,984.97,16.94,11526.01,1.45,-3613.9,,37.36,9.43,8.55,3852000.0,366000.0,-787000.0,-608000.0,5.93,34.31,172.56,4.52,276.44,-1060.4,7.46,31.18,127.44,7.77,91.17,260.75,0.0,-0.11,-0.11,157.53,161.01,303.76,10.72,49.96,87.15,10.72,49.96,87.15,7.33,87.4,,3.6999999999999997,LPP (LPP)
MFO,MFO,6607490,48.71,0.77,1.65,22.7,97.47,0.38,3.29,11.38,3.38,1.86,1.69,97997.0,6105.0,-33384.0,-62215.0,8.01,-27.81,55.47,73.06,-49.51,-53.86,8.59,8.66,,27.72,-29.09,-20.37,,,,-14.63,-28.23,-32.08,16.41,33.54,97.68,16.41,33.54,97.68,,-100.0,,0.0,MFO (MFO)
YARRL,YRL,6956279,4.59,1.66,0.47,16.32,12.55,0.61,0.9,8.47,10.15,6.45,3.71,1009.0,326.0,31.0,-255.0,21.57,220.17,121.97,-10.1,-128.86,-491.3,24.18,-3.05,-38.11,10.8,-159.59,802.18,1.5,635.57,635.57,27.76,-80.58,-52.24,10.86,283.21,129.4,10.86,283.21,129.4,,,,0.0,YARRL (YRL)
POLICE,PCE,124175768,3.92,2.32,-0.97,,20.26,0.45,-13.86,,-24.73,-3.46,-4.78,581331.0,149884.0,35020.0,1027988.0,1.29,-52.96,3.64,67.71,-11.09,-197.36,0.52,-21.5,-11.51,84.87,-1731.66,-27.55,,,,7.71,331.3,1339.92,3.37,-19.98,2.1,3.37,-19.98,2.1,,,,0.0,POLICE (PCE)
VOTUM,VOT,12000000,30.11,1.46,12.46,3.53,38.93,1.13,5.05,8.72,41.38,23.52,32.01,136790.0,6459.0,111157.0,184452.0,17.08,58.67,216.79,41.5,85.45,1905.66,,,,40.1,84.22,1405.96,0.0,-77.74,-80.69,-34.3,-54.23,-50.0,13.6,142.01,471.91,13.6,142.01,471.91,116.72,1430.83,,13.3,VOTUM (VOT)
EUROTEL,ETL,3748255,22.15,0.94,3.41,6.1,136.41,0.15,6.52,3.19,15.38,7.36,2.5,16980.0,1685.0,-2526.0,433.0,4.4,-19.59,16.78,18.18,-66.05,-29.78,3.46,41.05,68.37,7.55,-42.91,-20.22,0.03,-0.34,-0.34,,,,-7.22,-13.72,5.25,-7.22,-13.72,5.25,-100.0,-100.0,,0.0,EUROTEL (ETL)
OTMUCHOW,OTM,30320179,4.15,1.27,0.1,51.83,10.89,0.48,-0.61,,2.45,1.27,0.93,12655.0,5871.0,-12394.0,-18405.0,14.9,30.92,43.09,-58.42,-141.69,-325.07,-0.98,10.45,-7.83,-24.92,156.45,59.94,,,-100.0,-16.4,192.65,138.32,-4.22,26.04,33.72,-4.22,26.04,33.72,,,,0.0,OTMUCHOW (OTM)
DEKPOL,DEK,8362549,78.61,0.8,14.06,4.48,186.88,0.34,36.9,1.71,17.88,6.34,7.52,465878.0,36423.0,177186.0,262802.0,20.63,22.12,60.53,16.99,43.07,113.94,29.58,65.15,114.05,26.34,27.86,88.38,,,,-33.17,-40.11,-54.32,11.43,34.84,96.11,11.43,34.84,96.11,134.86,,,8.4,DEKPOL (DEK)
AMICA,AMC,7775273,130.09,0.45,1.7,34.58,318.6,0.18,23.95,2.45,1.3,0.66,0.53,103700.0,57700.0,18700.0,48800.0,-4.26,-27.85,-19.71,114.39,-391.75,-81.22,-1.08,-20.14,7.97,17.86,70.28,-43.13,-2.41,-16.67,-15.12,58.71,196.51,158.73,1.72,-11.17,-10.92,1.72,-11.17,-10.92,-20.31,-42.7,-32.3,3.5999999999999996,AMICA (AMC)
RAFAMET,RAF,8385367,5.23,13.97,-6.08,,8.37,8.72,-4.42,,-116.28,-26.19,-72.58,37506.0,5776.0,20112.0,-11629.0,-14.75,-39.71,-39.37,14.54,498.92,3274.97,-27.86,31.85,12.28,16.14,-1173.51,-519.52,,,,6.48,6.23,51.56,-5.43,-16.8,-3.07,-5.43,-16.8,-3.07,,,,0.0,RAFAMET (RAF)
PEPEES,PPS,95000000,1.73,0.48,-0.05,,2.75,0.31,-0.1,,-2.77,-1.54,-1.75,35215.0,9322.0,4946.0,10553.0,6.63,-1.28,23.33,-68.49,-145.12,-178.83,5.08,-14.46,14.64,124.69,-56.87,-32.87,0.0,0.0,-57.35,-51.06,-49.68,-40.91,-11.6,-16.08,-13.51,-11.6,-16.08,-13.51,,,-100.0,0.0,PEPEES (PPS)
DEBICA,DBC,13802750,100.79,0.83,7.33,11.35,205.08,0.41,37.51,2.22,7.27,4.12,3.57,6135.0,3492.0,-50513.0,-89060.0,15.79,-11.02,60.68,71.23,83.39,94.67,-8.26,-24.89,-18.18,55.35,35.78,34.56,,,,,,,6.34,11.35,35.61,6.34,11.35,35.61,0.0,343.97,152.45,12.3,DEBICA (DBC)
HYDROTOR,HDR,2398300,46.81,0.45,-5.03,,48.3,0.43,3.21,6.54,-10.74,-6.62,-10.41,22086.0,1965.0,-1230.0,1243.0,7.95,-28.44,17.22,-17.16,-206.94,-285.14,-3.68,-24.14,26.0,190.48,-89.25,-85.78,,,,10.5,75.81,857.45,-3.34,-10.52,25.64,-3.34,-10.52,25.64,-99.86,-99.98,-99.96,0.0,HYDROTOR (HDR)
PANOVA,NVA,10000000,50.22,0.31,2.06,7.48,26.93,0.57,-25.59,,4.1,2.09,7.64,302859.0,18640.0,11971.0,-25112.0,-5.74,29.88,65.57,1.58,0.03,44.31,56.16,-2.91,29.12,-8.09,4.43,34.48,0.0,0.0,0.0,294.58,4.85,149.23,4.74,4.14,19.29,4.74,4.14,19.29,0.0,16.67,,4.2,PANOVA (NVA)
HERKULES,HRS,34119105,2.37,0.45,-0.25,,3.06,0.34,-3.13,,-10.45,-3.63,-8.08,44115.0,5804.0,-103.0,-1169.0,-2.03,-34.09,-29.62,1.61,-79.25,-217.33,,,,-9.95,449.04,-51.86,0.0,0.0,0.0,18.05,-87.23,-85.39,-6.79,-33.9,-37.17,-6.79,-33.9,-37.17,,,,0.0,HERKULES (HRS)
PEKABEX,PBX,24826512,21.06,0.86,1.03,17.68,76.72,0.24,3.42,5.33,4.89,1.7,1.34,201337.0,23548.0,-22781.0,46966.0,10.21,13.51,100.0,-34.21,-59.96,-53.49,10.59,-31.21,27.01,-21.63,-41.06,-15.87,0.0,0.0,45.63,-18.79,164.14,460.16,3.25,13.4,65.95,3.25,13.4,65.95,0.0,,158.81,2.7,PEKABEX (PBX)
FERRO,FRO,21242655,19.54,1.84,3.27,11.0,36.42,0.99,5.73,6.28,16.75,8.89,8.99,30989.0,14755.0,-69333.0,5560.0,-2.75,-16.73,46.76,-15.08,-7.33,-0.74,,,,-17.19,-18.36,18.4,3.01,-7.35,7.23,16.48,6.67,41.07,10.27,9.19,61.4,10.27,9.19,61.4,0.0,109.27,690.01,9.6,FERRO (FRO)
CLNPHARMA,CLN,53856500,7.15,3.22,-1.28,,3.85,5.98,0.43,52.94,-17.89,-14.27,-33.25,27762.0,6720.0,-4335.0,-51977.0,-22.18,-17.15,15.77,255.31,211.61,-669.4,,,-100.0,-413.14,-797.16,-186.05,,,,-65.23,,-95.86,-13.33,-26.67,-33.01,-13.33,-26.67,-33.01,0.0,-72.4,13.47,0.3,CLNPHARMA (CLN)
IMS,IMS,35094086,1.29,3.09,0.25,15.8,1.91,2.09,-0.62,,19.58,9.15,13.22,13837.0,2092.0,175.0,-1110.0,1.21,17.2,82.66,-17.46,26.27,189.41,,,,-7.74,19.48,83.17,0.0,18.48,140.32,16.29,145.34,1616.06,7.42,30.78,111.24,7.42,30.78,111.24,-62.83,0.3,261.09,5.5,IMS (IMS)
SNIEZKA,SKA,12617778,29.16,2.91,5.5,15.47,61.51,1.38,-12.11,,18.85,8.49,8.93,145148.0,18098.0,-38845.0,123084.0,-1.63,-0.79,-4.37,7.29,87.4,-10.27,-1.11,11.31,1.55,3.24,38.89,8.31,2.06,-9.48,-17.64,-22.22,-24.39,-63.62,0.79,-0.31,11.55,0.79,-0.31,11.55,-5.53,24.81,12.97,4.2,SNIEZKA (SKA)
BEST,BST,28480549,37.7,0.66,3.28,7.57,16.44,1.51,33.46,0.74,8.69,3.57,19.93,873201.0,112061.0,-1834.0,70583.0,26.89,13.17,73.94,-17.46,-40.39,145.14,,,,8.2,-14.34,109.28,0.0,0.0,0.0,77.59,82.84,222.13,35.69,86.73,122.01,35.69,86.73,122.01,,,,0.0,BEST (BST)
BUMECH,BMC,15000000,-27.29,,-72.83,,21.6,0.39,-41.39,,266.88,-250.83,-337.2,359169.0,461915.0,14554.0,9964.0,-20.96,-70.86,312.08,-5.4,-406.39,-69729.7,-43.04,-52.01,47151.22,-17.08,-167.96,-2660.54,0.0,0.0,,14.79,1609.34,7313.69,3.2,-64.33,290.67,3.2,-64.33,290.67,,-100.0,,0.0,BUMECH (BMC)
INPRO,INP,40040000,12.76,0.57,1.4,5.19,10.72,0.68,9.16,0.79,10.95,6.0,13.04,177929.0,8535.0,-15877.0,-32196.0,9.18,19.95,12.13,18.13,7.93,2.12,14.03,19.9,83.31,15.8,2.17,6.66,0.0,0.0,0.0,-14.19,-29.41,-4.67,7.82,24.22,35.75,7.82,24.22,35.75,0.0,0.0,66.67,3.3000000000000003,INPRO (INP)
PGE,PGE,2243712994,16.7,0.68,-5.51,,28.6,0.4,-13.68,,-33.01,-12.42,-19.28,28585000.0,995000.0,10480000.0,15431000.0,-0.5,-12.63,40.19,298.32,-462.83,-8410.81,-4.31,-55.86,-40.48,20.52,69.96,146.73,,,,-49.8,-35.84,-0.94,-4.22,-5.84,22.07,-4.22,-5.84,22.07,,,,0.0,PGE (PGE)
UNIBEP,UNI,35070634,4.8,2.21,0.16,66.93,70.8,0.15,-4.26,,3.3,0.3,0.22,414994.0,54614.0,135309.0,228462.0,-8.09,6.1,42.42,-77.68,-24.57,-35.31,17.26,-56.1,-38.99,-46.24,19.68,36.57,0.0,-27.93,-27.93,-48.41,57.46,72.45,3.83,13.13,67.13,3.83,13.13,67.13,2304.4,-59.73,-9.36,1.9,UNIBEP (UNI)
BOGDANKA,LWB,34013590,86.86,0.27,-9.39,,103.4,0.23,16.47,1.42,-10.82,-7.91,-9.09,509585.0,27156.0,-540225.0,31177.0,-16.12,25.39,68.71,-59.41,-444.63,-929.61,-7.09,10.85,72.2,-64.36,-186.67,-212.84,,,,,-100.0,-100.0,1.19,-18.01,-9.69,1.19,-18.01,-9.69,-98.9,-98.89,,0.1,BOGDANKA (LWB)
TESGAS,TSG,11350000,7.25,0.33,-0.41,,6.3,0.38,1.58,1.53,-5.59,-3.95,-6.44,11285.0,1035.0,-19618.0,-16164.0,-11.38,-44.93,-30.7,2142.61,-335.77,-198.19,-11.1,-40.45,-28.07,-158.66,-129.84,-123.2,,,,-42.77,185.71,77.58,-10.43,-20.51,-7.92,-10.43,-20.51,-7.92,,-100.0,,0.0,TESGAS (TSG)
MCI,MCI,52461033,39.05,0.7,0.36,75.2,1.37,19.88,-6.41,,0.93,0.77,26.44,373326.0,28524.0,-20799.0,1025.0,24.17,-67.03,-65.52,-89.34,-98.85,-98.69,,,,8.53,-76.02,-80.04,,,,,,,1.77,9.82,44.14,1.77,9.82,44.14,,130.0,,5.6000000000000005,MCI (MCI)
TALEX,TLX,3000092,16.36,1.28,0.18,119.1,29.26,0.72,0.27,78.85,1.08,0.6,0.6,3438.0,402.0,-1483.0,-3511.0,20.98,7.55,-9.46,-40.02,-69.74,-85.39,-12.35,-19.51,-24.01,6.71,-43.93,-57.37,,,,,-100.0,-100.0,29.44,16.06,4.52,29.44,16.06,4.52,0.0,,50.0,4.1000000000000005,TALEX (TLX)
TORPOL,TOR,22970000,23.03,1.63,3.16,11.92,76.31,0.49,13.0,2.89,13.7,6.66,4.13,103322.0,7481.0,89104.0,118332.0,20.2,61.57,25.9,6.62,-60.55,49.28,70.0,-97.92,-99.15,10.04,-54.89,27.8,0.0,0.0,0.0,-47.66,-18.0,-88.4,-9.75,11.23,4.28,-9.75,11.23,4.28,0.0,-29.67,134.45,4.8,TORPOL (TOR)
INTROL,INL,25704018,7.02,1.0,0.76,9.19,23.09,0.3,0.0,1666.0,10.85,4.04,3.3,66584.0,9371.0,15876.0,49899.0,-8.78,-1.72,28.08,-15.62,9.02,65.24,1.15,25.5,70.36,-13.68,-7.46,45.09,0.0,0.0,0.0,-13.09,17.62,107.26,-6.92,1.41,30.91,-6.92,1.41,30.91,-50.0,-51.02,-36.84,3.1,INTROL (INL)
GTC,GTC,574255122,8.33,0.49,0.15,27.96,1.46,2.8,-12.82,,1.75,0.63,10.0,4332300.0,262400.0,-46800.0,-736400.0,3.49,7.05,17.42,-58.61,-17.98,-128.75,0.0,3.79,48.05,-15.56,12.5,-309.29,,,,268.33,1420.11,287.93,-3.62,6.02,15.96,-3.62,6.02,15.96,0.0,-21.45,,5.3,GTC (GTC)
PATENTUS,PAT,29500000,5.72,0.62,0.48,7.48,4.26,0.84,2.46,1.45,8.32,6.66,11.17,14662.0,3182.0,-2536.0,-36212.0,19.66,43.77,89.26,10.99,140.12,8348.54,-8.13,36.91,58.74,-16.55,1.87,60.23,,,,-17.66,-54.31,-63.31,-3.49,33.64,28.56,-3.49,33.64,28.56,0.0,,,13.5,PATENTUS (PAT)
WARIMPEX,WXF,54000000,5.5,0.48,-6.26,,2.65,1.0,-12.31,,-113.79,-34.44,-235.92,602002.0,15846.0,-11121.0,29683.0,-32.2,-32.36,20.92,-6.81,-267.99,135.16,,,,-24.4,-107.9,-13.65,,,,16.73,-61.78,-29.03,0.17,-54.04,-33.71,0.17,-54.04,-33.71,,,-100.0,,WARIMPEX (WXF)
PHARMENA,PHR,11137758,1.01,3.27,-0.16,,0.08,41.34,0.86,3.85,-15.87,-14.64,-200.45,149.0,14.0,-10651.0,-2254.0,231.72,-95.33,-91.05,41.05,8.8,-74.42,130.82,-80.35,-79.94,-15.63,-5356.6,-48.22,,,,,-100.0,-100.0,-9.98,-3.2,11.2,-9.98,-3.2,11.2,-100.0,,,0.0,PHARMENA (PHR)
INTERSPPL,IPO,121639325,-0.26,,-0.45,,1.48,0.26,-1.26,,176.18,-32.89,-30.7,48486.0,5724.0,-178.0,-19256.0,-2.77,-24.79,15.2,10.65,331.86,109.35,-1.39,-11.33,46.02,58.24,200.82,-14.36,,,,-15.5,-39.98,-33.73,1.43,38.55,28.16,1.43,38.55,28.16,,,,0.0,INTERSPPL (IPO)
MERCOR,MCR,15320616,14.34,1.74,0.71,34.96,32.28,0.77,0.47,52.98,4.97,2.28,2.21,99096.0,6699.0,4821.0,-15063.0,-2.56,-21.31,28.04,-35.06,-77.23,-63.58,2.22,16.09,61.17,-19.2,-63.92,-39.16,1.47,-9.79,-10.06,161.1,74.61,62.47,18.21,6.92,38.02,18.21,6.92,38.02,0.0,15.45,155.07,3.3000000000000003,MERCOR (MCR)
LENTEX,LTX,40000000,6.15,1.2,0.33,22.42,7.95,0.93,2.2,3.36,5.36,2.85,4.14,46579.0,1059.0,3374.0,7231.0,0.13,-22.77,-15.8,-18.52,-49.45,-53.35,2.21,-18.8,-4.68,-17.3,-22.55,-50.86,-0.09,-8.97,-7.49,,,-100.0,1.76,0.44,-3.28,1.76,0.44,-3.28,,,-100.0,0.0,LENTEX (LTX)
COMP,CMP,22591595,20.64,2.34,2.32,20.77,39.74,1.21,-1.66,,11.25,6.44,5.84,84834.0,14290.0,557.0,91937.0,-1.36,18.71,23.59,63.94,-838.79,379.18,0.21,18.31,41.64,7.32,76.5,69.27,0.0,-19.92,-19.92,24.1,-26.69,-38.58,-20.31,-23.13,-19.52,-20.31,-23.13,-19.52,194.91,-88.83,,0.1,COMP (CMP)
RAWLPLUG,RWL,31059401,21.0,0.82,0.84,20.59,35.18,0.49,-1.79,,3.98,1.67,2.37,309131.0,46600.0,-2019.0,-8853.0,-3.58,-10.32,38.74,-46.2,-73.2,-41.23,3.47,16.64,61.76,-14.24,-34.93,14.33,-2.04,-11.4,-10.53,-21.61,272.16,131.96,6.93,9.93,55.7,6.93,9.93,55.7,0.0,-33.33,1913.61,2.5,RAWLPLUG (RWL)
MIRBUD,MRB,110093000,10.17,1.34,0.94,14.57,27.31,0.5,2.27,6.01,9.21,3.98,3.43,686371.0,33003.0,-205575.0,-328342.0,-7.55,-9.42,141.91,-14.99,-13.44,77.3,,,,-12.07,-7.55,82.67,,,,4.99,158.05,17.62,7.53,15.44,68.62,7.53,15.44,68.62,0.0,5.0,949.92,1.2,MIRBUD (MRB)
PZU,PZU,863523000,37.01,1.7,7.09,8.88,73.2,0.86,41.96,1.5,19.17,1.18,9.69,0.0,0.0,-6111000.0,9061000.0,1.68,27.58,68.01,14.51,166.1,453.12,,-100.0,-100.0,12.54,41.01,197.24,0.0,-0.57,0.58,3.8,-7.29,-26.6,3.22,19.11,37.07,3.22,19.11,37.07,-12.75,130.45,,7.8,PZU (PZU)
BETACOM,BCM,4040000,4.82,0.96,0.23,19.79,42.94,0.11,0.36,12.66,4.85,1.61,0.54,6818.0,186.0,2265.0,-762.0,-8.96,18.98,73.44,-57.6,-175.28,-123.17,-4.62,19.9,96.02,-15.54,39.26,-513.52,0.0,0.0,,33.96,-84.32,-93.91,-14.02,23.37,49.15,-14.02,23.37,49.15,0.0,66.71,,5.8999999999999995,BETACOM (BCM)
NEUCA,NEU,4552744,231.19,3.0,29.75,23.33,2864.23,0.24,-154.82,,12.87,2.43,1.04,289517.0,76301.0,-203680.0,195362.0,5.8,18.8,44.19,-12.05,2.23,4.97,3.71,24.66,54.09,-5.41,10.1,34.7,1.92,40.66,164.62,37.34,82.63,2534.27,8.46,23.49,65.73,8.46,23.49,65.73,9.41,40.56,95.38,2.4,NEUCA (NEU)
XTB,XTB,117569251,15.0,5.43,6.84,11.91,17.82,4.57,14.35,5.68,45.6,10.99,38.38,0.0,64477.0,513520.0,620646.0,6.88,38.53,150.75,-23.76,-14.73,62.47,,,,-17.9,-7.93,57.87,,,,,,,25.31,102.4,264.68,25.31,102.4,264.68,8.57,263.91,2174.43,7.199999999999999,XTB (XTB)
EUROCASH,EUR,139163286,4.38,1.98,-0.23,,224.26,0.04,-29.91,,-5.14,-0.37,-0.1,2191077.0,322336.0,301724.0,391486.0,-3.2,1.14,22.82,185.08,-87.73,-83.91,-3.57,2.62,25.36,-1.52,-8.1,14.35,0.0,-2.2,2.26,-4.17,-76.6,-48.1,-7.34,-2.11,5.22,-7.34,-2.11,5.22,0.0,1055.44,3679.6,11.200000000000001,EUROCASH (EUR)
ASTARTA,AST,25000000,88.75,0.68,13.34,4.49,88.0,0.68,21.67,2.76,15.03,10.52,15.16,620140.0,76795.0,-121926.0,-180391.0,-16.68,-8.9,13.62,-38.79,-28.76,447.88,14.05,23.64,32.92,-19.5,-24.48,6.26,,,-100.0,373.0,-12.55,160.38,4.56,0.74,41.66,4.56,0.74,41.66,-0.09,,,4.2,ASTARTA (AST)
APLISENS,APN,11135113,19.99,0.94,1.51,12.38,13.34,1.4,9.86,1.9,7.56,6.8,11.32,1349.0,223.0,-4081.0,11881.0,-7.41,-2.67,33.23,-26.03,-22.77,7.56,1.73,62.83,156.59,-17.93,-14.32,13.94,0.0,251.61,251.61,,,,1.14,18.34,31.12,1.14,18.34,31.12,-29.69,12.85,165.79,3.8,APLISENS (APN)
RELPOL,RLP,9609193,9.8,0.52,-0.67,,11.13,0.46,2.63,1.96,-6.79,-4.8,-5.98,13178.0,897.0,-573.0,-3597.0,0.0,-27.58,-9.63,-49.47,-405.12,-148.94,-6.67,-13.71,17.47,-1290.12,-77.24,-82.18,,,,9.08,-17.35,6882.68,-4.39,-8.09,19.84,-4.39,-8.09,19.84,,,,0.0,RELPOL (RLP)
VOXEL,VOX,10502600,33.94,4.73,9.6,16.71,53.36,3.01,-8.5,,28.28,16.16,17.99,119822.0,10443.0,-37922.0,18046.0,10.36,35.1,71.03,4.39,123.61,199.17,-0.37,13.79,4.14,5.77,65.72,108.47,-3.89,-40.96,-44.88,540.85,189.88,43.1,-2.45,33.46,42.34,-2.45,33.46,42.34,0.0,7.26,261.77,2.0,VOXEL (VOX)
ATREM,ATR,9230079,5.02,7.05,2.36,14.98,23.44,1.51,-0.15,,47.07,11.74,10.08,9273.0,3721.0,-665.0,9001.0,37.09,132.01,197.31,61.3,895.3,987.26,4.31,47.33,22.63,52.07,377.01,868.03,,,,16.22,128.86,50.15,17.74,141.65,159.45,17.74,141.65,159.45,128.57,69.7,,2.6,ATREM (ATR)
GOBARTO,GOB,27800229,21.41,1.17,0.51,49.62,139.34,0.18,-9.25,,2.36,0.94,0.36,296108.0,29808.0,-12404.0,-77550.0,2.66,44.98,95.8,-86.47,-89.52,-114.85,5.61,49.66,92.77,-22.88,-18.21,286.85,-0.38,25.65,24.25,35.33,96.06,113.1,10.79,38.17,66.77,10.79,38.17,66.77,,,,0.0,GOBARTO (GOB)
ENERGA,ENG,414067114,30.35,0.4,0.74,16.24,53.26,0.23,-39.02,,2.44,0.87,1.39,16291000.0,797000.0,340000.0,226000.0,-3.92,6.93,74.94,96.27,-47.87,-218.47,13.94,-22.69,100.0,16.0,23.75,81.21,21.17,,4790.91,201.64,-78.24,-68.31,1.66,32.96,84.2,1.66,32.96,84.2,,,,0.0,ENERGA (ENG)
FORTE,FTE,23930769,38.17,0.77,3.04,9.66,46.82,0.63,1.88,15.67,7.97,5.16,6.5,282588.0,22394.0,89712.0,106407.0,1.74,-29.9,-3.4,45.26,-17.14,46.55,0.68,-31.26,-8.49,11.42,-15.13,-28.4,,,,-6.96,-61.37,-62.38,-4.66,-5.65,-4.1,-4.66,-5.65,-4.1,,-100.0,,0.0,FORTE (FTE)
GRODNO,GRN,15381861,8.41,1.24,-1.33,,76.26,0.14,-1.22,,-15.85,-4.3,-1.75,21059.0,9506.0,826.0,24486.0,0.59,-4.52,64.81,-10.37,-191.87,-249.2,,,,-38.62,-110.13,-117.5,0.0,0.0,-0.73,2.13,-21.12,46.38,1.35,-4.5,41.61,1.35,-4.5,41.61,,-100.0,-100.0,0.0,GRODNO (GRN)
ZUE,ZUE,23030083,9.14,0.99,0.4,22.53,43.64,0.21,0.08,107.65,4.39,1.35,0.92,92712.0,6361.0,-4814.0,31514.0,-18.91,7.32,9.7,-15.49,-47.29,113.67,,,,-8.59,-0.57,32.57,0.85,0.85,0.85,-52.13,-37.81,-6.83,-3.09,5.09,35.07,-3.09,5.09,35.07,-99.98,-99.97,,0.0,ZUE (ZUE)
GPW,GPW,41972000,24.85,2.07,4.53,11.37,11.96,4.3,5.03,10.22,18.22,13.14,37.83,86689.0,5528.0,60822.0,103493.0,12.98,34.91,30.06,33.07,36.78,30.94,,,,43.84,7.42,-19.94,0.0,-7.8,-7.8,,,,4.72,12.8,-2.1,4.72,12.8,-2.1,-94.29,-94.37,-93.57,0.3,GPW (GPW)
